leto,Lignit skupaj,Lignit - Velenje,Rjavi premog skupaj,Rjavi premog - Trbovlje,Rjavi premog - Hrastnik,Rjavi premog - Zagorje,Rjavi premog - Senovo,Rjavi premog - Kocevje,Rjavi premog - Lasko,Rjavi premog - Montana,Rjavi premog - Kanizarica,Rjavi premog - Presika,crni premog skupaj,crni premog - Secovlje,Premog skupaj
1962,2580,2580,2536,1134,?,684,221,178,132,119,59,9,26,26,5142
1963,3164,3164,2569,1180,?,650,233,185,130,112,70,8,22,22,5756
1964,3265,3265,2570,1226,?,607,244,192,130,86,76,9,20,20,5855
1965,3473,3473,2509,1202,?,585,223,191,123,86,91,9,17,17,5999
1966,3436,3436,2510,1192,?,619,233,182,120,58,96,8,15,15,5961
1967,2853,2853,2456,1150,?,600,258,174,123,35,110,6,14,14,5323
1968,3062,3062,2531,1199,?,581,271,180,123,38,131,6,11,11,5604
1969,3404,3404,2600,1263,?,562,267,206,116,37,143,6,9,9,6014
1970,3461,3461,2525,1273,?,507,251,214,107,29,143,1,0,?,5986
1971,3680,3680,2468,1327,?,503,197,177,101,24,139,?,0,?,6148
1972,3700,3700,2168,1274,?,423,139,106,96,5,125,?,0,?,5868
1973,3864,3864,2124,1363,?,361,130,67,75,?,127,?,0,?,5988
1974,3901,3901,1996,1285,?,336,126,60,71,?,118,?,0,?,5897
1975,4265,4265,1969,1249,?,356,127,50,63,?,125,?,0,?,6234
1976,4401,4401,1868,1281,?,330,127,49,50,?,31,?,0,?,6269
1977,4400,4400,1719,1181,?,280,130,43,56,?,29,?,0,?,6119
1978,4420,4420,1659,1114,?,273,122,5,48,?,98,?,0,?,6079
1979,4515,4515,1593,1040,?,275,118,?,41,?,118,?,0,?,6108
1980,4702,4702,1525,1007,?,244,117,?,37,?,120,?,0,?,6227
1981,5022,5022,1632,1153,?,214,119,?,27,?,118,?,0,?,6654
1982,5005,5005,1650,1252,?,149,121,?,29,?,99,?,0,?,6655
1983,5025,5025,1808,1278,?,255,120,?,34,?,121,?,0,?,6833
1984,5004,5004,1785,1230,?,275,116,?,33,?,131,?,0,?,6789
1985,5106,5106,1740,1170,?,308,110,?,26,?,127,?,0,?,6846
1986,5000,5000,1790,1222,?,295,120,?,25,?,128,?,0,?,6790
1987,4703,4703,1762,1269,?,221,114,?,29,?,129,?,0,?,6465
1988,4737,4737,1606,1081,?,269,106,?,28,?,122,?,0,?,6343
1989,4617,4617,1678,1105,?,303,117,?,30,?,124,?,0,?,6296
1990,4210,4210,1373,899,?,250,108,?,22,?,93,?,0,?,5583
1991,3903,3903,1253,864,?,198,95,?,14,?,83,?,0,?,5156
1992,4251,4251,1323,980,?,171,85,?,7,?,80,?,0,?,5573
1993,3921,3921,1200,895,?,158,86,?,?,?,61,?,0,?,5121
1994,3775,3775,1079,829,?,129,66,?,?,?,55,?,0,?,4854
1995,3917,3917,967,812,?,75,45,?,?,?,35,?,0,?,4884
1996,3937,3937,830,745,?,33,32,?,?,?,20,?,0,?,4768
1997,4142,4142,811,807,?,?,4,?,?,?,?,?,0,?,4953
1998,4064,4064,828,828,?,?,?,?,?,?,?,?,0,?,4891
1999,3804,3804,758,758,?,?,?,?,?,?,?,?,0,?,4562
2000,3743,3743,737,737,?,?,?,?,?,?,?,?,0,?,4480
2001,3448,3448,685,685,?,?,?,?,?,?,?,?,0,?,4133
2002,4048,4048,639,639,?,?,?,?,?,?,?,?,0,?,4687
2003,4222,4222,608,608,?,?,?,?,?,?,?,?,0,?,4830
2004,4198,4198,611,611,?,?,?,?,?,?,?,?,0,?,4809
2005,3945,3945,594,594,?,?,?,?,?,?,?,?,0,?,4540
2006,3934,3934,588,588,?,?,?,?,?,?,?,?,0,?,4522
2007,4052,4052,483,483,?,?,?,?,?,?,?,?,0,?,4535
2008,4032,4032,489,489,?,?,?,?,?,?,?,?,0,?,4520
2009,3918,3918,511,511,?,?,?,?,?,?,?,?,0,?,4429
2010,4011,4011,419,419,?,?,?,?,?,?,?,?,0,?,4430
2011,4066,4066,439,439,?,?,?,?,?,?,?,?,?,?,4505

