leto,Hidroelektrarne do vkljuèno 10 MW,Hidroelektrarne nad 10 MW,Termoelektrarne,Jedrska elektrarna,Soncne elektrarne,Vetrne elektrarne,Skupaj
2000,127,733,1115,656,..,..,2631
2001,147,759,1337,656,..,..,2899
2002,146,803,1338,656,..,..,2943
2003,141,832,1340,656,..,..,2968
2004,143,831,1335,656,..,..,2965
2005,144,836,1357,656,..,..,2992
2006,144,866,1363,666,..,..,3038
2007,151,867,1351,666,..,..,3035
2008,154,873,1296,666,0,..,2989
2009,159,912,1310,666,4,..,3050
2010,160,1094,1261,666,11,..,3192
2011,159,1094,1270,688,57,..,3268
2012,160,1094,1267,688,142,..,3351
2013,161,1138,1256,688,187,4,3434
2014,157,1138,1242,688,224,4,3453
2015,157,1138,1133,688,239,5,3360
 

