leto,Prevzem-hidroelektrarne na prenosnem omrežju,Prevzem-male fotovoltaiène elektrarne na prenosnem omrežju,Prevzem-termoelektrarne na prenosnem omrežju,Prevzem-nuklearna elektrarna na prenosnem omrežju,Prevzem-proizvodnja na distribucijskem omrežju,Prevzem-uvoz na prenosnem omrežju,Prevzem-uvoz na distribucijskem omrežju,Prevzem-skupaj,Odjem-distribucijski odjemalci,Odjem-neposredni odjemalci,Odjem-èrpalna hidroelektrarna,Odjem-izvoz na prenosnem omrežju,Odjem-izvoz na distribucijskem omrežju,Odjem-izgube na prenosnem omrežju,Odjem-izgube na distribucijskem omrežju,Odjem-skupaj
1990,2796,?,3960,4383,80,5214,0,16433,6811,2621,?,6205,1,278,516,16433
1991,3372,?,3447,4708,103,3453,0,15084,6809,2089,?,5468,1,262,454,15084
1992,3197,?,3933,3757,99,1385,2,12373,6649,1938,?,3204,0,211,371,12373
1993,2817,?,3985,3750,99,2068,?,12719,6718,1854,?,3482,2,183,480,12719
1994,3129,?,3884,4391,149,2792,?,14345,7057,2018,?,4725,3,179,363,14345
1995,2976,?,3857,4558,159,2710,0,14261,7194,2005,?,4358,4,168,532,14261
1996,3355,?,3723,4359,194,2169,?,13800,7356,1886,?,3831,5,197,526,13800
1997,2839,?,4207,4785,158,1991,?,13981,7623,1981,?,3684,3,246,444,13981
1998,3145,?,4362,3536,196,1998,?,13237,7844,1988,?,2640,2,189,574,13237
1999,3411,?,3913,4484,252,2177,3,14240,8086,1971,?,3511,2,259,411,14240
2000,3513,?,4092,4540,272,4232,?,16649,8204,2079,?,5551,2,304,508,16649
2001,3446,?,4423,5030,291,3154,0,16343,8559,2119,?,4924,2,326,412,16343
2002,2991,?,4754,5302,274,3794,?,17114,8726,2575,?,4928,0,390,495,17114
2003,2650,?,4585,4957,299,5975,0,18466,8938,2763,?,5811,0,278,676,18466
2004,3603,?,4578,5211,443,7433,0,21268,9375,2783,?,8187,2,298,624,21268
2005,3036,?,4640,5613,378,9342,0,23009,9619,2775,?,9523,144,319,630,23009
2006,3120,?,4774,5281,468,7706,0,21350,10041,2786,?,7477,185,265,597,21350
2007,2844,?,4865,5422,506,6106,0,19743,10310,2688,?,5683,194,236,630,19743
2008,3547,?,4919,5970,596,6225,0,21256,10588,2032,?,7822,2,234,578,21256
2009,4315,?,4750,5453,690,7780,0,22987,10135,1095,9,10815,41,277,616,22987
2010,4305,?,4851,5371,734,8625,0,23886,10515,1399,245,10745,1,347,635,23886
2011,3406,0,4839,5899,734,7037,0,21915,10574,1915,193,8408,0,280,544,21915
2012,3768,1,4688,5233,857,7452,0,21999,10390,1990,251,8491,0,302,575,21999
2013,4529,2,4440,5023,961,7521,0,22476,10418,2006,392,8810,0,307,542,22476
2014,5855,2,3304,6060,1061,7254,0,23536,10323,2033,363,9996,0,303,517,23536
2015,3747,5,3870,5362,969,9045,0,22999,10619,2042,380,9093,0,334,530,22999
