leto,Prevzem - DEM na prenosnem omrežju,Prevzem - SEL na prenosnem omrežju,Prevzem - HESS na prenosnem omrežju,Prevzem - SENG na prenosnem omrežju,Prevzem - male HE na prenosnem omrežju,Prevzem - male fotovoltaiène elektrarne na prenosnem omrežju,Prevzem - TEŠ na prenosnem omrežju,Prevzem - TEB na prenosnem omrežju,Prevzem - TET na prenosnem omrežju,Prevzem - TE-TOL na prenosnem omrežju,Prevzem - SPTE na prenosnem omrežju,Prevzem - nuklearna elektrarna na prenosnem omrežju,Prevzem - proizvodnja na distribucijskem omrežju,Prevzem - uvoz na prenosnem omrežju,Prevzem - uvoz na distribucijskem omrežju,Prevzem - skupaj,Odjem - distribucijski odjemalci Elektro Celje,Odjem - distribucijski odjemalci Elektro Gorenjska,Odjem - distribucijski odjemalci Elektro Ljubljana,Odjem - distribucijski odjemalci Elektro Maribor,Odjem - distribucijski odjemalci Elektro Primorska,Odjem - odjemalci na lokaciji Kidrièevo,Odjem - odjemalci na lokaciji Ruše,Odjem - odjemalci na lokaciji Jesenice,Odjem - odjemalci na lokaciji Ravne,Odjem - odjemalci na lokaciji Štore,Odjem - ostali odjemalci na prenosnem omrežju,Odjem - èrpalna hidroelektrarna,Odjem - izvoz na prenosnem omrežju,Odjem - izvoz na distribucijskem omrežju,Odjem - izgube na prenosnem omrežju,Odjem - izgube na distribucijskem omrežju,Odjem - skupaj
2012M01,105620,13812,12799,22839,1660,16,339864,-173,53628,57021,8381,515946,65839,628541,2,1825795,165896,87722,331348,190172,126399,103508,6600,36330,15162,14001,  ,485,620730,30,20412,107002,1825795
2012M02,97579,8521,7484,8903,1015,11,354140,1009,71338,52969,8176,475802,53487,603822,1,1744258,159754,84224,324103,185949,121425,95768,6696,36545,14719,14088,  ,58,557300,34,20519,123075,1744258
2012M03,114098,7574,8304,10146,1181,39,294478,108,52832,41593,7061,509881,71274,719743,2,1838314,166420,85678,331846,183538,130012,101565,7093,37351,15127,14846,  ,8,699642,32,20659,44498,1838314
2012M04,147118,23605,18781,63125,2961,35,265537,-122,44976,29943,5662,209370,80582,679623,2,1571198,147048,76795,307308,177579,123764,99559,6863,34662,14621,13526,3,14738,508193,33,19919,26587,1571198
2012M05,235028,25036,19890,67187,3278,39,270980,60,31347,19466,668,41847,77795,797854,2,1590479,156776,82523,320927,177072,130397,101985,4860,36915,14049,11422,  ,29853,495018,28,27541,1113,1590479
2012M06,256772,22702,18589,56629,3825,42,262223,14,29321,11019,1078,494236,69778,632876,2,1859106,153095,80955,311923,175492,128257,99515,4620,34323,14937,13712,  ,31789,767506,35,28711,14237,1859106
2012M07,295901,20492,11761,51678,3504,81,302750,-208,61073,12198,995,502006,66575,561613,2,1890422,156027,81605,328591,182669,135702,102075,4873,36573,9300,11623,  ,31924,777953,39,31173,296,1890422
2012M08,252955,12035,6813,35026,2752,85,367434,932,9224,11126,1013,495098,61699,649687,2,1905882,154950,78344,312640,176896,123216,102270,4710,36999,13780,8870,  ,31402,821078,37,29051,11640,1905882
2012M09,279504,25041,19542,40592,3162,55,314296,-135,56865,11726,605,495391,63142,513149,2,1822937,155001,79040,305628,174741,126538,99138,4725,33996,13328,14092,  ,25369,744111,29,26355,20845,1822937
2012M10,338944,36621,21205,41396,4516,134,325778,2921,64616,27787,3676,476062,74482,616768,2,2034908,161837,83452,325182,181615,127166,102991,4711,34731,13061,12770,  ,1974,919330,32,25760,40297,2034908
2012M11,288458,53785,43214,94636,4999,63,321827,827,45830,42429,7574,498279,88928,497662,2,1988513,157358,81899,316328,180146,118785,99425,257,33824,12452,11822,789,39141,844961,42,26099,65185,1988513
2012M12,215435,41702,48954,82079,5567,52,267721,216,47460,54530,9858,518604,83807,551053,1,1927039,157600,80179,317471,178590,125984,103010,276,15839,11800,10269,1025,44315,734958,36,25438,120250,1927039
2013M01,150029,25967,33116,61039,3648,44,323196,25,46836,53871,9332,519050,72993,766400,1,2065544,167258,86844,337261,195744,124697,103733,4708,28516,13988,11895,1059,39240,821465,33,29095,100008,2065544
2013M02,128032,22447,35252,55578,2298,41,287402,-249,56509,46828,8076,407823,67080,679256,1,1796373,151562,81408,307432,175419,114610,93758,4446,32749,13410,12702,943,35465,652770,28,26016,93657,1796373
2013M03,194146,37148,58906,82062,3265,117,295081,-127,39611,41112,10103,469522,89464,681557,1,2001969,163295,87024,331587,190550,130823,103257,5469,36893,14817,13565,1001,27776,788292,34,26102,81484,2001969
2013M04,290120,53796,63457,97361,5091,222,171211,-161,9858,25794,5296,501451,98179,587017,1,1908694,150791,80723,326044,177921,121908,99493,5234,31737,14768,14865,822,40487,800953,29,25085,17834,1908694
2013M05,370540,57939,57553,109109,6337,235,152548,-58,-346,20871,1013,517265,99335,535518,1,1927861,153722,80761,322726,174608,120188,103341,7794,28692,14450,13594,853,40586,835769,35,25225,5519,1927861
2013M06,355958,33773,32574,66070,5517,276,291617,-112,-326,11150,898,496262,89742,575376,2,1958776,150748,80803,306625,173068,119736,100026,7529,35432,14650,14713,776,32264,878608,25,26930,16843,1958776
2013M07,255394,17065,15063,40544,3689,311,368168,-211,66886,11821,1062,502590,78857,618846,2,1980089,157425,79371,335091,179894,134126,103010,5445,33624,10500,13680,783,29864,865052,33,28285,3905,1980089
2013M08,194542,14067,12204,35601,2482,252,353094,-81,27590,11124,1000,497508,65851,467069,2,1682305,150859,83158,320215,172006,124652,103070,5380,34366,14517,10715,799,29919,606488,35,22583,3546,1682305
2013M09,164861,22548,24356,49932,3196,170,324350,-150,65089,11048,1157,492679,63232,497658,2,1720129,157384,76734,318786,173298,123550,99617,5287,36699,14419,14421,577,23451,631774,30,22220,21882,1720129
2013M10,196820,25565,27783,73056,3564,152,352119,-193,70952,25283,4489,-3300,74979,824996,1,1676266,164204,88558,334698,185803,126268,102662,7660,34967,14772,12744,679,34963,508944,33,25341,33969,1676266
2013M11,304145,49743,57300,93566,5215,57,310339,-2,47885,40940,8101,114734,83036,685759,2,1800820,157563,83551,324711,182593,119330,99993,276,34951,14878,12561,736,32330,648846,30,24791,63681,1800820
2013M12,215801,30634,33247,54168,4537,64,318162,1711,51127,52054,8305,507549,77772,601933,1,1957063,157983,83436,327376,184675,125191,102498,249,31081,11100,11008,784,25571,771332,33,24974,99775,1957063
2014M01,265591,50728,57173,96908,5794,47,280636,673,49466,51629,10375,517024,91613,522089,1,1999745,164325,88056,330861,193197,121323,103313,5374,35105,15482,14064,763,34845,785818,31,24326,82862,1999745
2014M02,289111,49213,59417,101208,3961,70,223752,49,14801,44617,8634,465884,86995,433190,1,1780903,150665,80426,305058,175787,108256,93699,5115,30669,14866,13798,435,29802,684888,26,22126,65286,1780903
2014M03,371412,45941,54513,67656,5517,186,274709,95,-393,34287,9554,517226,105756,503753,1,1990212,158836,87722,328773,181356,124301,102897,5568,36217,16325,15105,750,24326,839835,28,20844,47329,1990212
2014M04,384135,40588,37487,60957,5467,198,206724,344,-303,28542,5977,499983,96488,584071,1,1950657,152317,79767,315679,172804,119526,100232,8078,34922,14927,13996,878,29765,858524,33,23508,25702,1950657
2014M05,402999,37225,37809,65587,5834,269,276857,-212,-281,21916,1806,514938,93957,509094,2,1967799,153819,81899,320392,173476,115762,103385,8327,35248,15102,15131,1263,31952,867616,27,23085,21316,1967799
2014M06,346832,29352,26423,64156,5247,283,265674,-18,-246,11832,1019,493645,83778,621300,1,1949278,154638,82198,312000,171057,122811,100373,5525,33396,15251,13725,1422,31962,852416,27,27869,24606,1949278
2014M07,306945,27679,33540,66451,5259,257,240759,-123,19880,11782,1101,510799,85432,612087,2,1921850,157157,84186,348020,176652,129997,103281,5696,36198,9681,14443,1493,25597,806035,33,27127,-3745,1921850
2014M08,318963,27679,47362,71388,5188,230,211373,17,9883,13725,975,511791,84725,572376,3,1875679,146034,76923,307548,169076,119211,102849,5706,34126,13560,10046,1584,27319,820242,29,24975,16453,1875679
2014M09,359551,43680,52881,63072,4744,149,219559,386,25386,11947,865,496913,76881,666250,2,2022266,152401,86264,311818,173711,115095,99893,8031,34295,16262,13929,1739,25529,912064,31,29144,42061,2022266
2014M10,221660,24309,30647,58001,3632,143,258168,3798,-247,19229,3094,515347,76049,780372,2,1994204,162011,85490,337222,183878,126048,103382,5538,35171,16583,11834,1966,28980,834180,32,26746,35142,1994204
2014M11,337503,53391,53405,90583,4725,68,161471,974,-321,40498,8094,498757,90044,775750,2,2114943,157791,83194,325156,179009,119537,100202,285,34194,15414,13172,1898,33851,954801,29,27893,68517,2114943
2014M12,291829,42938,50901,77612,5214,55,158709,189,-421,50228,10569,518000,88856,673763,1,1968443,158306,84790,331843,183958,123588,103348,255,20706,13505,9792,1929,39004,779733,37,25855,91795,1968443
2015M01,198787,25667,30614,53542,3792,49,285123,1099,-435,50011,10228,518213,77548,811493,2,2065733,166303,91257,339236,194857,126963,103394,5416,34194,15891,14500,2013,33102,811255,26,28018,99309,2065733
2015M02,150376,18805,29416,38519,2131,442,237807,646,-386,46263,9229,467970,70188,718640,1,1790047,157344,85425,314662,176925,119063,93926,5223,31310,13587,16108,2007,27640,640857,24,24105,81841,1790047
2015M03,152828,23128,32401,49947,2343,652,273634,42,-347,35495,9404,517404,93094,682260,2,1872286,164221,89771,341817,185889,126807,103555,5731,34117,16905,17026,2080,28272,676771,27,24276,55020,1872286
2015M04,151677,20010,25628,42770,3006,359,292401,193,-252,26179,6374,164647,93841,891791,6,1718631,151862,82118,317486,170961,120862,99889,5676,33373,14269,14182,1976,28511,631612,37,23493,22323,1718631
2015M05,267715,25985,28564,57190,3613,278,194249,82,-215,18793,1504,216320,86382,967366,2,1867830,156598,84477,329144,173092,119236,103688,5819,33656,16247,14280,2387,28874,755564,26,29198,15543,1867830
2015M06,276524,22634,24255,53646,3866,537,282764,-244,-143,11091,723,492896,85578,697506,2,1951636,158596,84784,325138,176205,126132,99976,5489,33117,15744,14443,2290,33929,839796,28,30232,5737,1951636
2015M07,237425,18117,20180,44252,3128,445,438228,2435,-62,12685,646,449797,77819,672245,1,1977340,164418,88347,344597,182473,138588,103247,5750,32552,11380,14575,2328,34623,803691,36,33091,17644,1977340
2015M08,253009,16233,16739,42434,2725,506,261665,-372,-153,9971,540,504390,71995,629270,0,1808954,153428,84057,318630,173519,125601,103171,5740,32032,10061,10409,2315,30781,715251,29,26756,17173,1808954
2015M09,227333,28091,28056,61049,3909,276,324216,59,-164,11851,785,496503,69524,592804,0,1844294,161145,85644,330065,178142,122119,100024,5401,32444,15806,14820,2943,21851,732220,29,25814,15827,1844294
2015M10,299372,38689,41656,77073,5044,542,271479,717,-201,18382,5639,517005,92114,722083,0,2089595,166599,87642,338576,184311,127240,103357,5731,32695,16639,16497,2764,38153,888528,32,29844,50987,2089595
2015M11,179797,18533,20632,44449,3429,631,303054,361,-243,33440,7037,500982,78503,784630,0,1975235,164166,88607,333537,182960,128728,100532,5349,31034,16769,11645,2649,37088,783282,27,28738,60125,1975235
2015M12,127747,12828,14850,39279,2049,667,331629,741,-258,35768,9233,515387,72591,874787,0,2037298,164107,90063,338256,187667,128775,103144,250,24768,14760,11920,2611,37225,814555,34,30785,88380,2037298
2016M01,128504,22408,28498,55329,  ,  ,320521,-248,-321,55510,  ,516705,87229,778217,0,1992352,170318,95301,348943,201364,129579,101660,314,30153,16117,14769,2343,35784,712965,24,27651,105066,1992352
2016M02,154659,34483,51448,88619,  ,  ,258304,-29,-246,45502,  ,485067,96435,715370,0,1929612,157874,90145,332616,182448,126325,95535,5348,29295,15515,13765,2383,35845,753332,25,26163,62998,1929612
2016M03,209658,36394,52322,76679,..,..,293874,131,-225,34333,..,518050,109141,704075,0,2034433,163737,92604,346534,190784,131148,101559,5829,31305,15673,15610,2311,38887,816127,27,27103,55196,2034433
2016M04,236286,32753,30353,62991,..,..,240832,792,-148,22838,..,500646,105926,738120,0,1971389,153370,83790,325394,175242,124284,98341,5694,30441,16461,14904,2289,33860,859622,29,27805,19863,1971389
