leto,DA (< 1.000 kWh),DB (1.000 do < 2.500 kWh),DC (2.500 do < 5.000 kWh),DD (5.000 do < 15.000 kWh),DE ( >= 15.000 kWh),D - Slovenija
2005,13.78,10.14,6.09,4.46,3.53,5.72
2006,12.38,9.52,5.98,4.44,3.54,5.61
2007,21.63,8.74,5.83,4.34,3.26,5.66
2008,7.57,4.34,3.45,2.96,2.61,3.38
2009,29.14,10.22,5.71,3.30,1.63,5.35
2010,39.80,17.05,9.87,5.92,3.04,9.34
2011,25.75,12.86,7.74,4.78,2.63,7.29
2012,18.31,10.07,6.24,3.97,2.24,5.88
2013,41.92,23.71,14.30,8.69,4.44,13.41
2014,42.40,25.60,15.47,9.47,5.01,14.55
2015,61.51,27.83,16.44,9.61,5.06,15.91


