leto,DA (< 1.000 kWh),DB (1.000 do < 2.500 kWh),DC (2.500 do < 5.000 kWh),DD (5.000 do < 15.000 kWh),DE ( >= 15.000 kWh),D - Slovenija
2005,26.64,22.33,17.54,15.48,14.46,17.04
2006,25.21,21.81,17.58,15.77,14.74,17.17
2007,35.28,21.39,18.32,16.79,15.67,18.17
2008,31.61,21.77,19.20,17.92,17.35,19.10
2009,45.23,26.31,22.18,20.44,20.18,21.96
2010,43.31,28.01,23.44,21.23,20.18,23.34
2011,37.99,28.15,24.45,22.36,20.94,24.18
2012,37.26,29.27,25.65,23.36,21.26,25.08
2013,42.88,33.50,28.35,25.27,22.54,27.82
2014,43.92,35.00,29.38,26.14,23.51,28.89
2015,50.80,34.77,29.02,25.45,23.08,28.65
