leto,DA (< 1.000 kWh),DB (1.000 do < 2.500 kWh),DC (2.500 do < 5.000 kWh),DD (5.000 do < 15.000 kWh),DE ( >= 15.000 kWh),D - Slovenija
2005,36.44,36.29,36.13,36.16,36.20,36.18
2006,37.24,37.14,37.02,37.12,37.22,37.11
2007,41.54,40.85,41.05,41.27,41.61,41.18
2008,46.55,45.16,45.31,46.13,48.34,45.86
2009,57.57,52.20,52.81,55.51,61.94,53.40
2010,58.66,54.42,54.33,55.84,59.67,55.52
2011,59.73,57.41,57.46,57.73,58.47,57.73
2012,65.68,63.01,62.21,61.01,58.26,60.97
2013,64.42,63.48,61.47,60.23,57.47,61.07
2014,62.48,60.75,58.66,57.81,56.13,58.55
2015,57.76,58.52,57.29,56.00,55.13,56.77
