leto,DA (< 1.000 kWh),DB (1.000 do < 2.500 kWh),DC (2.500 do < 5.000 kWh),DD (5.000 do < 15.000 kWh),DE ( >= 15.000 kWh),D - Slovenija
2005,159.84,133.97,105.22,92.88,86.73,102.23
2006,151.27,130.86,105.49,94.65,88.47,103.00
2007,211.71,128.31,109.95,100.75,94.04,109.05
2008,189.68,130.62,115.17,107.50,104.07,114.62
2009,271.40,157.84,133.10,122.66,121.10,131.76
2010,259.87,168.05,140.66,127.39,121.07,140.03
2011,227.95,168.91,146.71,134.16,125.64,145.07
2012,223.55,175.63,153.89,140.18,127.53,150.50
2013,247.10,193.02,163.33,145.58,129.90,160.27
2014,243.58,194.11,162.95,144.96,130.36,160.24
2015,281.72,192.79,160.95,141.14,127.98,158.90
