leto,DA (< 1.000 kWh),DB (1.000 do < 2.500 kWh),DC (2.500 do < 5.000 kWh),DD (5.000 do < 15.000 kWh),DE ( >= 15.000 kWh),D - Slovenija
2005,82.98,65.21,45.47,36.78,32.55,43.30
2006,76.44,62.38,44.91,37.31,32.96,43.11
2007,112.42,56.50,43.91,37.52,32.67,43.21
2008,102.94,58.36,46.21,39.50,34.78,45.27
2009,138.46,68.12,51.40,42.41,36.35,50.05
2010,116.25,66.70,51.16,42.54,36.32,49.97
2011,101.44,67.44,54.00,46.24,40.55,52.82
2012,99.25,70.23,56.75,48.79,42.73,55.51
2013,94.82,69.29,56.17,48.35,42.39,54.93
2014,91.72,69.71,56.39,48.50,42.66,55.19
2015,108.60,68.62,55.14,47.04,41.66,54.51

