leto,DA (< 1.000 kWh),DB (1.000 do < 2.500 kWh),DC (2.500 do < 5.000 kWh),DD (5.000 do < 15.000 kWh),DE ( >= 15.000 kWh),D - Slovenija
2005,..,..,..,..,..,..
2006,..,..,..,..,..,..
2007,0.83,0.83,0.83,0.83,0.83,0.83
2008,1.00,1.00,1.00,1.00,1.00,1.00
2009,1.00,1.00,1.00,1.00,1.00,1.00
2010,1.86,1.86,1.86,1.86,1.86,1.86
2011,3.05,3.05,3.05,3.05,3.05,3.05
2012,3.05,3.05,3.05,3.05,3.05,3.05
2013,3.05,3.05,3.05,3.05,3.05,3.05
2014,3.05,3.05,3.05,3.05,3.05,3.05
2015,3.05,3.05,3.05,3.05,3.05,3.05

