leto,OVE - Hidroelektrarne,OVE - Elektrarne na lesno biomaso,OVE - Vetrne elektrarne,OVE - Geotermalne elektrarne,OVE - Soncne elektrarne,OVE - Elektrarne na bioplin,OVE - Soseuig biomase (do 5 %),OVE - Soseuig biomase (5 % - 90 %),OVE - Elektrarne na komunalne odpadke,OVE - Ostale,OVE Skupaj,SPTE - Proizvodne naprave na fosilna goriva,SPTE - Proizvodne naprave na lesno biomaso,SPTE Skupaj,Skupaj OVE + SPTE
2004,363000227,21954206,0,0,768,500625,0,..,26518017,..,411973843,190391380,0,190391380,602365223
2005,297633221,20994839,0,0,31995,612852,0,..,28582110,..,347855017,195494040,0,195494040,543349057
2006,318784422,20720256,0,0,191401,6298109,0,..,27639349,..,373633537,272573215,0,272573215,646206752
2007,331756826,42562438,0,0,426023,22629836,0,..,28821913,..,426197036,290693276,0,290693276,716890312
2008,410391064,168445831,0,0,1166569,44151783,8773279,..,31226010,..,664154536,298225033,0,298225033,962379569
2009,430239719,97943961,218,0,2528978,78276053,6403404,..,30501352,..,645893685,288287043,0,288287043,934180728
2010,483033860,100756071,10666,0,10305110,96269047,0,..,27918645,..,718293399,277215426,0,277215426,995508825
2011,359868890,94011276,7034,0,50046485,126627082,0,..,26075281,313152,656949200,286238067,66391,286304458,943253658
2012,100576034,43247847,1834,0,121390580,123832842,0,36801732,26756181,1549790,454156840,198994838,817648,199812486,653969326
2013,131358049,46204094,2037038,0,219480539,106225720,0,40024227,25975233,986188,572291088,229769712,828294,230598006,802889094
2014,156736670,54228181,4208613,0,244645457,104175917,0,43700000,21381063,3897511,632973412,270913377,2028938,272942315,905915727
2015,119814471,65702427,5482287,0,265994586,109412439,0,50552041,18027834,4091508,639077593,337998618,3737023,341735641,980813234
2016,139502299,73041193,5778254,0,259639718,124173748,0,53965904,13951176,8374465,678426757,320803201,4279572,325082773,1003509530

