leto,OVE - Hidroelektrarne,OVE - Elektrarne na lesno biomaso,OVE - Vetrne elektrarne,OVE - Geotermalne elektrarne,OVE - Soncne elektrarne,OVE - Elektrarne na bioplin,OVE - Soseuig biomase (do 5 %),OVE - Soseuig biomase (5 % - 90 %),OVE - Elektrarne na komunalne odpadke,OVE - Ostale,OVE Skupaj,SPTE - Proizvodne naprave na fosilna goriva,SPTE - Proizvodne naprave na lesno biomaso,SPTE Skupaj,Skupaj OVE + SPTE
2004,17399594,781040,0,0,284,57770,0,..,1245923,..,19484611,6975324,0,6975324,26459935
2005,14695773,681645,0,0,11972,71259,0,..,1293304,..,16753952,6033118,0,6033118,22787070
2006,11109180,612583,0,0,68193,545255,0,..,621912,..,12957123,5931538,0,5931538,18888661
2007,7085268,1421478,0,0,143933,1837126,0,..,376832,..,10864637,7965158,0,7965158,18829795
2008,6631533,7645752,0,0,401509,3348142,164060,..,192456,..,18383453,6984014,0,6984014,25367467
2009,4690966,5656776,14,0,885315,5601034,104504,..,43561,..,16982171,5754615,0,5754615,22736787
2010,11271850,5812120,1017,0,3615833,13560357,0,..,1346612,..,35607790,12980643,0,12980643,48588433
2011,8447099,8195881,671,0,17169629,18014703,0,..,1341129,72586,53241698,16251905,11860,16263765,69505462
2012,5812251,5889805,175,0,38239960,16907941,0,2547048,1367221,355475,71119876,18418377,239178,18657555,89777431
2013,7488163,7358890,111778,0,59232271,14936688,0,3392401,1390592,248310,94159095,24113723,242474,24356197,118515291
2014,9431693,9394447,255613,0,62575129,14732814,0,4057982,1121692,1030406,102599775,27705157,528850,28234007,130833782
2015,7256019,11652143,349026,0,68101165,17214002,0,4788795,718954,1082613,111162717,35010647,921583,35932231,147094948
2016,8749012,13201971,380626,0,66789512,17895238,0,4926547,429120,839520,113211547,31897385,1082435,32979819,146191366

