"Leto"	"Doktor znanosti"	"Magisterij"	"Fakulteta, visoka šola"	"Višja šola"	"Srednja šola - 4.letna"	"Delovodska šola - visokokvalificirana"	"Srednja šola - 3.letna"	"Ožji profil"	"Skupaj zaposleni"
"2001"	4	7	103	52	611	..	1512	392	2681
"2002"	3	7	96	68	575	..	1398	375	2522
"2003"	2	9	90	82	555	..	1308	344	2390
"2004"	2	5	94	95	521	..	1146	206	2069
"2005"	2	7	97	117	495	..	1067	181	1966
"2006"	2	11	79	111	458	..	942	158	1761
"2007"	3	13	82	108	431	..	812	125	1574
"2008"	2	11	86	116	413	..	697	103	1428
"2009"	2	14	84	116	396	..	630	78	1320
"2010"	3	15	92	120	384	..	607	57	1278
"2011"	4	16	98	120	368	..	578	47	1231
"2012"	4	17	108	135	381	..	641	47	1333
"2013"	4	16	110	135	377	0	641	50	1333
"2014"	3	15	110	128	372	..	645	48	1321
