"Leto"	"Doktor znanosti"	"Magisterij"	"Fakulteta, visoka šola"	"Višja šola"	"Srednja šola - 4.letna"	"Delovodska šola - visokokvalificirana"	"Srednja šola - 3.letna"	"Ožji profil"	"Skupaj zaposleni"
2001	..	5	34	36	166	33	210	121	605
2002	..	4	31	32	167	33	207	111	585
2003	..	4	33	35	173	31	200	104	580
2004	..	6	35	32	170	29	197	101	570
2005	1	6	35	40	167	28	187	97	561
2006	1	7	36	42	162	26	175	88	537
2007	1	7	40	43	153	23	169	72	508
2008	1	7	42	44	152	20	157	67	490
2009	1	8	44	51	163	19	149	63	498
2010	3	9	45	49	170	12	139	61	488
2011	2	10	51	55	164	9	130	56	477
2012	1	10	51	59	155	7	131	50	464
2013	1	10	52	57	152	6	124	48	450
2014	2	9	51	58	146	4	123	46	439
