"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Available for the internal market",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Available for the internal market","280 973",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Available for the internal market","197 155",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Available for the internal market","44 258",""
"France","2012M01","Gigawatt-hour","Electrical energy","Available for the internal market","51 067",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Available for the internal market","6 184",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Available for the internal market","1 213",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Available for the internal market",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Available for the internal market","279 182",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Available for the internal market","197 151",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Available for the internal market","43 947",""
"France","2012M02","Gigawatt-hour","Electrical energy","Available for the internal market","54 143",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Available for the internal market","6 184",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Available for the internal market","1 207",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Available for the internal market",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Available for the internal market","258 881","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Available for the internal market","181 762","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Available for the internal market","42 311","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Available for the internal market","42 887",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Available for the internal market","5 881",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Available for the internal market","1 158",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Available for the internal market",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Available for the internal market","234 673",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Available for the internal market","164 239",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Available for the internal market","38 501",""
"France","2012M04","Gigawatt-hour","Electrical energy","Available for the internal market","39 650",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Available for the internal market","5 298",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Available for the internal market","1 065",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Available for the internal market",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Available for the internal market","229 347","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M05","Gigawatt-hour","Electrical energy","Available for the internal market","160 739","p"
"Germany (until 1990 former territory of the FRG)","2012M05","Gigawatt-hour","Electrical energy","Available for the internal market","38 249",""
"France","2012M05","Gigawatt-hour","Electrical energy","Available for the internal market","34 768",""
"Austria","2012M05","Gigawatt-hour","Electrical energy","Available for the internal market","5 245",""
"Slovenia","2012M05","Gigawatt-hour","Electrical energy","Available for the internal market","1 087",""
"European Union (28 countries)","2012M06","Gigawatt-hour","Electrical energy","Available for the internal market",":",""
"European Union (27 countries)","2012M06","Gigawatt-hour","Electrical energy","Available for the internal market","225 164",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M06","Gigawatt-hour","Electrical energy","Available for the internal market","160 259",""
"Germany (until 1990 former territory of the FRG)","2012M06","Gigawatt-hour","Electrical energy","Available for the internal market","37 725",""
"France","2012M06","Gigawatt-hour","Electrical energy","Available for the internal market","32 579",""
