"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Used for pumped storage","3 322",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Used for pumped storage","2 651",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Used for pumped storage","703",""
"France","2012M01","Gigawatt-hour","Electrical energy","Used for pumped storage","561",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Used for pumped storage","408",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Used for pumped storage","0",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Used for pumped storage","3 197",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Used for pumped storage","2 524",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Used for pumped storage","661",""
"France","2012M02","Gigawatt-hour","Electrical energy","Used for pumped storage","599",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Used for pumped storage","328",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Used for pumped storage","0",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Used for pumped storage","3 240","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Used for pumped storage","2 584","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Used for pumped storage","679","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Used for pumped storage","455",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Used for pumped storage","498",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Used for pumped storage","0",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Used for pumped storage","3 267",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Used for pumped storage","2 700",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Used for pumped storage","636",""
"France","2012M04","Gigawatt-hour","Electrical energy","Used for pumped storage","520",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Used for pumped storage","490",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Used for pumped storage","15",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Used for pumped storage","3 150","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M05","Gigawatt-hour","Electrical energy","Used for pumped storage","2 612","p"
"Germany (until 1990 former territory of the FRG)","2012M05","Gigawatt-hour","Electrical energy","Used for pumped storage","699",""
"France","2012M05","Gigawatt-hour","Electrical energy","Used for pumped storage","586",""
"Austria","2012M05","Gigawatt-hour","Electrical energy","Used for pumped storage","471",""
"Slovenia","2012M05","Gigawatt-hour","Electrical energy","Used for pumped storage","30",""
"European Union (28 countries)","2012M06","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M06","Gigawatt-hour","Electrical energy","Used for pumped storage","3 011",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M06","Gigawatt-hour","Electrical energy","Used for pumped storage","2 510",""
"Germany (until 1990 former territory of the FRG)","2012M06","Gigawatt-hour","Electrical energy","Used for pumped storage","602",""
"France","2012M06","Gigawatt-hour","Electrical energy","Used for pumped storage","629",""
"Austria","2012M06","Gigawatt-hour","Electrical energy","Used for pumped storage","397",""
"Slovenia","2012M06","Gigawatt-hour","Electrical energy","Used for pumped storage","32",""
"European Union (28 countries)","2012M07","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M07","Gigawatt-hour","Electrical energy","Used for pumped storage","3 137",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M07","Gigawatt-hour","Electrical energy","Used for pumped storage","2 606",""
"Germany (until 1990 former territory of the FRG)","2012M07","Gigawatt-hour","Electrical energy","Used for pumped storage","662",""
"France","2012M07","Gigawatt-hour","Electrical energy","Used for pumped storage","527",""
"Austria","2012M07","Gigawatt-hour","Electrical energy","Used for pumped storage","429",""
"Slovenia","2012M07","Gigawatt-hour","Electrical energy","Used for pumped storage","32",""
"European Union (28 countries)","2012M08","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
